Date	d00xm	d00xf	d00xs	d01xm	d01xf	d01xs	d02xm	d02xf	d02xs	d03xm	d03xf	d03xs	d04xm	d04xf	d04xs	d05xm	d05xf	d05xs	d06xm	d06xf	d06xs	d07xm	d07xf	d07xs	d08xm	d08xf	d08xs	d09xm	d09xf	d09xs	d10xm	d10xf	d10xs	sm	sf	ss	avgage	h	sstt	sschk
2020-04-01	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	2	2	2	4	4	1	5	1	2	3	3	1	4	0	0	0	12	8	20	72.5	0	40	40
2020-04-02	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	2	2	2	4	5	1	6	1	2	3	3	1	4	0	0	0	13	8	21	72.5	0	42	42
2020-04-03	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	2	2	2	4	6	1	7	2	5	7	3	1	4	0	0	0	16	10	26	74.5	0	52	52
2020-04-04	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	3	2	2	4	7	2	9	5	5	10	3	1	4	0	0	0	19	13	32	75	0	64	64
2020-04-05	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	3	2	2	4	7	2	9	7	5	12	3	1	4	0	0	0	21	13	34	75.5	0	68	68
2020-04-06	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	3	3	2	5	9	2	11	7	5	12	3	2	5	0	0	0	24	14	38	75.6	0	76	76
2020-04-07	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	3	4	4	8	10	3	13	10	5	15	4	2	6	0	0	0	30	17	47	75.7	0	94	94
2020-04-08	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	1	2	3	5	5	10	14	5	19	11	6	17	4	2	6	0	0	0	38	20	58	75.3	0	116	116
2020-04-09	0	0	0	0	0	0	0	0	0	1	0	1	1	2	3	1	2	3	6	5	11	14	8	22	12	7	19	4	3	7	0	0	0	39	27	66	75.3	0	132	132
2020-04-10	0	0	0	0	0	0	0	0	0	1	0	1	1	2	3	2	2	4	8	6	14	16	10	26	14	8	22	4	3	7	0	0	0	46	31	77	75.1	0	154	154
2020-04-11	0	0	0	0	0	0	0	0	0	1	0	1	1	2	3	3	2	5	10	6	16	16	10	26	16	9	25	4	5	9	0	0	0	51	34	85	75.3	0	170	170
2020-04-12	0	0	0	0	0	0	0	0	0	1	0	1	1	2	3	3	2	5	10	6	16	20	12	32	19	11	30	6	6	12	0	0	0	60	39	99	76.4	0	198	198
2020-04-13	0	0	0	0	0	0	0	0	0	1	0	1	2	2	4	3	2	5	11	7	18	21	14	35	19	14	33	6	7	13	0	0	0	63	46	109	76.2	0	218	218
2020-04-14	0	0	0	0	0	0	0	0	0	1	0	1	2	2	4	3	2	5	12	8	20	24	15	39	21	17	38	7	8	15	0	0	0	70	52	122	76.8	0	244	244
2020-04-15	0	0	0	0	0	0	0	0	0	1	0	1	2	2	4	3	2	5	15	9	24	25	16	41	24	20	44	7	8	15	0	0	0	77	57	134	77.1	0	268	268
2020-04-16	0	0	0	0	0	0	0	0	0	1	0	1	2	2	4	4	2	6	15	10	25	25	17	42	27	21	48	7	9	16	0	0	0	81	61	142	77.1	0	284	284
